WINTER,Winter Start,CLOSED,Closed Full Date,Julian Closed,OPENED,Opened Full Date,Julian Opened,DAYS
1933-34,1933,25-Dec,12/25/1933,359,26-Mar,3/26/1934,085,91
1934-35,1934,24-Dec,12/24/1934,358,28-Mar,3/28/1935,087,94
1935-36,1935,20-Dec,12/20/1935,354,30-Mar,3/30/1936,090,101
1937-38,1937,7-Dec,12/7/1937,341,22-Mar,3/22/1938,081,105
1938-39,1938,28-Dec,12/28/1938,362,4-Apr,4/4/1939,094,97
1939-40,1939,2-Jan,1/2/1939,002,16-Apr,4/16/1940,107,105
1940-41,1940,5-Jan,1/5/1940,005,11-Apr,4/11/1941,101,96
1941-42,1941,3-Jan,1/3/1941,003,26-Mar,3/26/1942,085,82
1942-43,1942,7-Dec,12/7/1942,341,2-Apr,4/2/1943,092,116
1943-44,1943,16-Dec,12/16/1943,350,8-Apr,4/8/1944,099,114
1944-45,1944,18-Dec,12/18/1944,353,20-Mar,3/20/1945,079,92
1945-46,1945,13-Dec,12/13/1945,347,21-Mar,3/21/1946,080,98
1946-47,1946,30-Dec,12/30/1946,364,10-Apr,4/10/1947,100,101
1947-48,1947,21-Dec,12/21/1947,355,3-Apr,4/3/1948,094,104
1948-49,1948,24-Dec,12/24/1948,359,30-Mar,3/30/1949,089,96
1949-50,1949,23-Dec,12/23/1949,357,11-Apr,4/11/1950,101,109
1950-51,1950,11-Dec,12/11/1950,345,12-Apr,4/12/1951,102,122
1951-52,1951,16-Dec,12/16/1951,350,8-Apr,4/8/1952,099,114
1952-53,1952,30-Dec,12/30/1952,365,21-Mar,3/21/1953,080,81
1953-54,1953,30-Dec,12/30/1953,364,25-Mar,3/25/1954,084,85
1954-55,1954,2-Jan,1/2/1954,002,4-Apr,4/4/1955,094,92
1955-56,1955,12-Dec,12/12/1955,346,4-Apr,4/4/1956,095,114
1956-57,1956,14-Dec,12/14/1956,349,4-Apr,4/4/1957,094,111
1957-58,1957,30-Dec,12/30/1957,364,4-Apr,4/4/1958,094,95
1958-59,1958,9-Dec,12/9/1958,343,14-Apr,4/14/1959,104,126
1959-60,1959,29-Dec,12/29/1959,363,12-Apr,4/12/1960,103,105
1960-61,1960,19-Dec,12/19/1960,354,6-Apr,4/6/1961,096,108
1961-62,1961,16-Dec,12/16/1961,350,12-Apr,4/12/1962,102,117
1962-63,1962,12-Dec,12/12/1962,346,3-Apr,4/3/1963,093,112
1963-64,1963,20-Dec,12/20/1963,354,11-Apr,4/11/1964,102,113
1964-65,1964,15-Dec,12/15/1964,350,14-Apr,4/14/1965,104,120
1965-66,1965,11-Jan,1/11/1965,011,17-Mar,3/17/1966,076,65
1966-67,1966,26-Dec,12/26/1966,360,3-Apr,4/3/1967,093,98
1967-68,1967,27-Dec,12/27/1967,361,27-Mar,3/27/1968,087,91
1968-69,1968,17-Dec,12/17/1968,352,19-Dec,12/19/1969,353,-
1969-70,1969,16-Dec,12/16/1969,350,8-Apr,4/8/1970,098,113
1970-71,1970,24-Dec,12/24/1970,358,13-Apr,4/13/1971,103,110
1971-72,1971,5-Jan,1/5/1971,005,19-Apr,4/19/1972,110,105
1972-73,1972,7-Dec,12/7/1972,342,14-Mar,3/14/1973,073,97
1973-74,1973,21-Dec,12/21/1973,355,5-Apr,4/5/1974,095,105
1974-75,1974,2-Jan,1/2/1974,002,19-Apr,4/19/1975,109,107
1975-76,1975,27-Dec,12/27/1975,361,24-Mar,3/24/1976,084,88
1976-77,1976,3-Dec,12/3/1976,338,28-Mar,3/28/1977,087,115
1977-78,1977,7-Dec,12/7/1977,341,8-Dec,12/8/1978,342,-
1978-79,1978,10-Dec,12/10/1978,344,13-Dec,12/13/1979,347,-
1979-80,1979,29-Dec,12/29/1979,363,6-Apr,4/6/1980,097,99
1980-81,1980,20-Dec,12/20/1980,355,23-Mar,3/23/1981,082,93
1981-82,1981,28-Dec,12/28/1981,362,3-Apr,4/3/1982,093,96
1982-83,1982,13-Jan,1/13/1982,013,8-Mar,3/8/1983,067,54
1983-84,1983,19-Dec,12/19/1983,353,8-Apr,4/8/1984,099,111
1984-85,1984,25-Dec,12/25/1984,360,26-Dec,12/26/1985,360,-
1985-86,1985,14-Dec,12/14/1985,348,31-Mar,3/31/1986,090,107
1986-87,1986,13-Dec,12/13/1986,347,12-Mar,3/12/1987,071,89
1987-88,1987,2-Jan,1/2/1987,002,29-Mar,3/29/1988,089,87
1988-89,1988,29-Dec,12/29/1988,364,5-Apr,4/5/1989,095,97
1989-90,1989,12-Dec,12/12/1989,346,15-Mar,3/15/1990,074,93
1990-91,1990,26-Dec,12/26/1990,360,24-Mar,3/24/1991,083,88
1991-92,1991,18-Dec,12/18/1991,352,26-Mar,3/26/1992,086,99
1992-93,1992,24-Dec,12/24/1992,359,11-Apr,4/11/1993,101,108
1993-94,1993,27-Dec,12/27/1993,361,31-Mar,3/31/1994,090,94
1994-95,1994,6-Jan,1/6/1994,006,21-Mar,3/21/1995,080,74
1995-96,1995,10-Dec,12/10/1995,344,7-Apr,4/7/1996,098,119
1996-97,1996,20-Dec,12/20/1996,355,1-Apr,4/1/1997,091,102
1997-98,1997,11-Jan,1/11/1997,011,27-Feb,2/27/1998,058,47
1998-99,1998,30-Dec,12/30/1998,364,21-Mar,3/21/1999,080,82
1999-00,1999,14-Jan,1/14/1999,014,7-Mar,3/7/2000,067,53
2000-01,2000,13-Dec,12/13/2000,348,7-Apr,4/7/2001,097,115
2001-02,2001,2-Jan,1/2/2001,002,12-Jan,1/12/2002,012,--
2002-03,2002,4-Jan,1/4/2002,004,3-Apr,4/3/2003,093, 89
2003-04,2003,7-Jan,1/7/2003,007,27-Mar,3/27/2004,087, 80
2004-05,2004,25-Dec,12/25/2004,360,5-Apr,4/5/2005,095,101
2005-06,2005,19-Dec,12/19/2005,353,24-Mar,3/24/2006,083, 95
2006-07,2006,20-Jan,1/20/2006,020,27-Mar,3/27/2007,086, 66
2007-08,2007,26-Dec,12/26/2007,360,10-Apr,4/10/2008,101,106
2008-09,2008,16-Dec,12/16/2008,351,23-Mar,3/23/2009,082, 97
2009-10,2009,29-Dec,12/29/2009,363,26-Mar,3/26/2010,085, 87
2010-11,2010,15-Dec,12/15/2010,349, 3 Apr,4/3/2011,093,109
2011-12,2011,14-Jan,1/14/2011,014,11-Mar,3/11/2012,071, 57
2012-13,2012,14-Jan,1/14/2012,014,11-Apr,4/11/2013,101, 87
2013-14,2013,16-Dec,12/16/2013,350,12-Apr,4/12/2014,102,117
2014-15,2014, 2 Jan,1/2/2014,002,3-Apr,4/3/2015,093, 91
2015-16,2015,11-Jan,1/11/2015,011,13-Mar,3/13/2016,073,  62 
2016-17,2016, 1 Jan,1/1/2016,001,7-Mar,3/7/2017,066,  65 
2017-18,2017,27-Dec,12/27/2017,361,31-Mar,3/31/2018,090, 94 
